newlyConst,balcony,totalRent,hasKitchen,cellar,livingSpace,lift,typeOfFlat,geo_plz,noRooms,garden,regio3,date,buildingAge,schufa_yn,PersonalInfo_yn,incomeProof_yn,guarantee_yn,debtFreeProof_yn,ID_yn,utilitiesPrice
0,0,955.0,0,0,62.63,0,ground_floor,13086,2.0,0,Weißensee,Oct19,102.0,0,0,0,0,0,0,147.0
1,1,1300.0,1,1,46.4,1,apartment,10179,2.0,0,Mitte,Oct19,1.0,0,0,0,0,0,0,150.0
0,1,1428.78,1,1,67.0,1,apartment,10963,2.5,0,Kreuzberg,Oct19,3.0,0,0,0,0,0,1,228.78
1,1,1559.05,1,1,73.54,1,ground_floor,10557,2.0,0,Tiergarten,Feb20,1.0,0,0,0,0,0,0,221.04999999999995
0,1,1280.0,1,1,83.14,0,apartment,12527,3.0,0,Köpenick,Oct19,6.0,0,0,0,0,0,0,232.0
0,1,656.72,0,0,62.23,1,apartment,12685,3.0,0,Marzahn,Oct19,40.0,0,0,0,0,0,0,221.72000000000003
0,1,861.0,1,1,71.2,1,apartment,13057,3.0,0,Hohenschönhausen,Oct19,36.0,0,0,0,0,0,0,162.0
0,0,415.51,0,1,41.97,0,apartment,12629,1.0,0,Hellersdorf,Oct19,32.0,0,0,0,0,0,0,101.51
0,1,2565.0,1,1,165.68,1,roof_storey,10435,4.0,0,Prenzlauer Berg,Feb20,110.0,0,0,0,0,0,0,340.0
0,1,1125.0,1,0,88.0,0,apartment,13127,3.5,0,Buchholz,May19,130.0,0,0,0,0,0,0,333.0
1,1,2830.0,1,1,140.0,1,penthouse,10589,3.0,0,Charlottenburg,Oct19,2.0,0,0,0,0,0,0,450.0
0,1,1893.09,1,1,97.9,1,apartment,10115,3.0,0,Mitte,May19,3.0,0,0,0,0,0,0,253.08999999999992
0,0,1747.63,1,0,97.09,0,apartment,10437,3.0,0,Prenzlauer Berg,Feb20,120.0,0,0,0,0,0,0,291.6300000000001
0,0,618.21,0,1,62.75,0,raised_ground_floor,12105,2.5,1,Tempelhof,May19,93.0,0,0,0,0,0,0,116.21000000000004
0,0,399.84,0,0,35.0,0,apartment,12047,1.0,0,Neukölln,Feb20,120.0,0,0,0,0,0,0,90.83999999999996
0,1,1000.0,1,1,41.58,0,apartment,10557,2.0,0,Tiergarten,May19,45.0,0,0,0,0,0,0,155.0
0,1,1125.0,1,1,81.0,0,apartment,14052,2.0,1,Charlottenburg,Sep18,30.0,0,0,0,0,0,0,250.0
0,0,1567.7,0,0,145.0,0,ground_floor,14199,4.5,0,Wilmersdorf,Feb20,110.0,0,0,0,0,0,0,320.7000000000001
0,1,549.0,1,0,47.0,0,apartment,12559,1.0,0,Köpenick,Oct19,23.0,0,0,0,0,0,0,100.0
1,1,1289.65,1,1,59.9,1,terraced_flat,10963,2.0,1,Tiergarten,Sep18,2.0,0,0,0,0,0,0,209.65000000000006
0,1,989.0,1,0,69.75,1,apartment,13629,2.0,0,Spandau,Feb20,30.0,0,0,0,0,0,0,240.0
0,0,1299.0,1,0,68.06,1,apartment,10551,3.0,0,Tiergarten,Sep18,61.0,0,0,0,0,0,1,286.0
0,1,822.97,1,1,68.75,0,apartment,13125,3.0,0,Weißensee,Sep18,23.0,0,0,0,0,0,0,186.97000000000003
0,1,1300.0,1,1,49.39,0,apartment,10115,2.0,0,Mitte,Feb20,62.0,0,0,0,0,0,0,150.0
0,1,1766.0,1,0,111.0,0,roof_storey,10245,3.0,0,Friedrichshain,Feb20,106.0,0,0,0,0,0,0,266.0
0,1,1200.0,1,1,53.0,0,roof_storey,12047,2.0,0,Neukölln,Feb20,110.0,0,0,0,0,0,1,150.0
0,1,899.0,1,0,46.34,0,apartment,13407,2.0,0,Reinickendorf,Oct19,87.0,0,0,0,0,0,0,135.0
0,0,1095.0,1,1,93.0,0,apartment,13357,2.0,0,Wedding,Oct19,120.0,0,0,0,0,0,0,115.0
0,1,1710.1,1,0,95.68,1,apartment,10719,2.0,0,Charlottenburg,Oct19,28.0,0,0,0,0,0,0,323.0999999999999
