totalRent,livingSpace,noRooms,buildingAge,regio3
955.0,62.63,2.0,102.0,Weißensee
1300.0,46.4,2.0,1.0,Mitte
1428.78,67.0,2.5,3.0,Kreuzberg
1559.05,73.54,2.0,1.0,Tiergarten
1280.0,83.14,3.0,6.0,Köpenick
656.72,62.23,3.0,40.0,Marzahn
861.0,71.2,3.0,36.0,Hohenschönhausen
415.51,41.97,1.0,32.0,Hellersdorf
2565.0,165.68,4.0,110.0,Prenzlauer Berg
1125.0,88.0,3.5,130.0,Buchholz
2830.0,140.0,3.0,2.0,Charlottenburg
1893.09,97.9,3.0,3.0,Mitte
1747.63,97.09,3.0,120.0,Prenzlauer Berg
618.21,62.75,2.5,93.0,Tempelhof
399.84,35.0,1.0,120.0,Neukölln
1000.0,41.58,2.0,45.0,Tiergarten
1125.0,81.0,2.0,30.0,Charlottenburg
1567.7,145.0,4.5,110.0,Wilmersdorf
549.0,47.0,1.0,23.0,Köpenick
1289.65,59.9,2.0,2.0,Tiergarten
989.0,69.75,2.0,30.0,Spandau
1299.0,68.06,3.0,61.0,Tiergarten
2500.0,220.0,4.0,22.0,Neukölln
822.97,68.75,3.0,23.0,Weißensee
1300.0,49.39,2.0,62.0,Mitte
1766.0,111.0,3.0,106.0,Friedrichshain
545.0,36.08,1.0,108.0,Wilmersdorf
1200.0,53.0,2.0,110.0,Neukölln
899.0,46.34,2.0,87.0,Reinickendorf
1095.0,93.0,2.0,120.0,Wedding
1710.1,95.68,2.0,28.0,Charlottenburg
1215.0,90.0,3.0,88.0,Köpenick
1190.0,83.0,3.0,4.0,Buchholz
890.0,49.0,2.0,110.0,Wedding
1688.94,120.44,5.0,25.0,Reinickendorf
478.74,43.88,1.0,43.0,Neukölln
1200.0,59.54,2.0,4.0,Mitte
1783.08,68.58,2.0,105.0,Mitte
685.97,54.07,1.5,56.0,Spandau
475.2,54.0,2.0,1.0,Treptow
627.13,57.33,2.0,120.0,Schöneberg
489.2,51.0,2.0,90.0,Hohenschönhausen
2990.0,106.1,4.0,4.0,Mitte
700.0,40.34,2.0,120.0,Wedding
750.0,78.88,2.0,100.0,Friedrichshain
714.0,59.95,2.0,120.0,Wedding
2244.62,160.33,7.0,1.0,Weißensee
620.0,38.0,1.0,4.0,Lichtenberg
845.0,68.0,2.5,23.0,Lichtenberg
3362.41,164.0,4.0,1.0,Prenzlauer Berg
2992.67,155.12,4.0,28.0,Charlottenburg
899.0,81.14,3.0,63.0,Spandau
