totalRent,livingSpace,noRooms,buildingAge,regio3
4300.0,213.0,6.0,146.0,Wilmersdorf
643.48,71.22,3.0,33.0,Hellersdorf
950.0,27.95,1.0,1.0,Charlottenburg
479.23,36.03,1.0,38.0,Marzahn
1010.0,91.23,3.0,23.0,Tempelhof
2180.0,103.27,3.0,0.0,Wilmersdorf
1033.35,79.06,2.0,28.0,Wilmersdorf
847.3,45.16,2.0,110.0,Neukölln
1200.0,59.0,2.5,56.0,Mitte
594.0,60.0,3.0,32.0,Hellersdorf
398.75,48.5,2.0,59.0,Hohenschönhausen
1860.0,119.3,3.0,1.0,Tempelhof
837.01,47.38,2.0,120.0,Steglitz
1598.0,99.18,3.0,7.0,Köpenick
943.0,69.61,2.0,24.0,Köpenick
920.0,51.27,2.0,105.0,Charlottenburg
899.0,29.27,1.0,114.0,Friedrichshain
2639.6,131.98,5.0,7.0,Mitte
794.0,68.63,3.0,32.0,Hellersdorf
1564.0,65.0,2.0,1.0,Tiergarten
1567.39,88.19,3.0,26.0,Charlottenburg
789.0,69.55,2.0,25.0,Spandau
1048.0,49.31,2.0,51.0,Wedding
2394.0,114.0,4.0,1.0,Prenzlauer Berg
1450.0,55.0,2.0,47.0,Tempelhof
2650.0,145.0,4.0,120.0,Charlottenburg
1176.0,97.0,3.5,120.0,Pankow
863.0,68.1,2.0,22.0,Weißensee
1400.0,90.0,4.0,24.0,Steglitz
1205.0,90.89,4.0,36.0,Hohenschönhausen
1937.0,71.8,3.0,1.0,Prenzlauer Berg
884.0,85.56,4.0,21.0,Hellersdorf
970.0,66.5,1.0,120.0,Wilmersdorf
4747.6,110.41,3.0,2.0,Mitte
650.0,34.5,1.0,66.0,Spandau
1205.0,83.0,2.0,2.0,Köpenick
699.0,42.92,1.0,1.0,Lichtenberg
1523.5,121.88,3.0,120.0,Friedrichshain
488.97,47.19,1.0,78.0,Charlottenburg
2210.0,155.0,5.0,95.0,Wilmersdorf
640.89,53.49,2.0,89.0,Spandau
978.91,61.97,2.0,1.0,Treptow
751.0,51.8,2.0,90.0,Spandau
1150.0,50.0,2.0,0.0,Mitte
728.2,70.15,3.0,32.0,Hellersdorf
1280.0,53.0,2.0,60.0,Tiergarten
1440.0,76.0,2.0,3.0,Zehlendorf
1635.0,76.19,3.0,0.0,Tiergarten
1368.19,71.26,2.0,120.0,Friedrichshain
1685.0,73.78,2.0,22.0,Mitte
1285.0,111.21,4.0,56.0,Reinickendorf
829.0,67.0,2.0,120.0,Wedding
1297.27,59.92,2.0,1.0,Tiergarten
841.01,59.57,2.0,108.0,Neukölln
869.1,67.32,2.0,28.0,Tempelhof
5936.4,131.92,3.0,2.0,Mitte
1209.44,83.71,3.0,5.0,Köpenick
710.0,54.4,2.0,113.0,Köpenick
2400.0,148.27,4.0,3.0,Prenzlauer Berg
619.5,68.0,3.0,47.0,Hohenschönhausen
2202.0,120.41,3.0,1.0,Neukölln
884.08,88.26,4.0,42.0,Lichtenberg
1950.0,150.0,4.0,40.0,Zehlendorf
763.0,54.05,2.0,90.0,Lichtenberg
394.0,28.0,1.0,140.0,Spandau
2472.0,211.0,6.5,89.0,Charlottenburg
2550.0,122.02,4.0,120.0,Prenzlauer Berg
982.44,63.21,2.0,3.0,Köpenick
860.0,57.43,2.0,1.0,Hohenschönhausen
3790.0,247.0,8.0,111.0,Schöneberg
2075.12,100.49,3.0,1.0,Tiergarten
1154.0,87.39,2.0,125.0,Reinickendorf
846.51,69.59,2.0,43.0,Tempelhof
2154.32,129.3,3.5,3.0,Prenzlauer Berg
1464.0,46.0,1.0,109.0,Charlottenburg
2950.0,174.0,5.0,8.0,Mitte
740.36,69.14,3.0,32.0,Hellersdorf
2436.48,101.52,3.0,1.0,Tiergarten
712.0,43.44,1.0,1.0,Lichtenberg
1930.0,113.0,3.0,21.0,Tempelhof
2139.54,107.76,3.0,4.0,Charlottenburg
513.67,49.09,1.0,44.0,Neukölln
3300.0,177.0,5.0,6.0,Lichtenberg
591.98,30.47,1.0,16.0,Zehlendorf
650.0,53.0,2.0,28.0,Hellersdorf
2849.0,157.38,5.0,102.0,Mitte
1293.33,103.25,4.0,23.0,Pankow
2170.0,107.0,2.0,6.0,Mitte
